Network,G11,G12,G21,G22,Gs,GW
Comb_AS_AS,0.31180555555555556,0.010416666666666666,0.010416666666666666,0.125,0.7961805555555556,0.7944444444444445
Comb_AS_C,0.013609467455621296,0.003205128205128205,0.003205128205128205,0.31180555555555556,0.33369904667981587,0.4218852728468113
Comb_AS_CC,0.23928930283608754,-0.004914314516129031,-0.004914314516129031,0.0625,0.3837220158309402,0.3961625786487565
Comb_AS_E,0.3152777777777776,0.016666666666666663,0.016666666666666663,0.2341836734693877,0.5529797335600908,0.6241142290249435
Comb_AS_M,0.26568047337278106,0.004807692307692308,0.004807692307692308,0.153125,0.5809264053254438,0.6171412721893491
Comb_AS_PS,0.04081632653061224,0.005681144205443591,0.005681144205443591,0.08704535675906581,0.3144019460597871,0.3183472204314354
Comb_AS_RS,0.20234375000000002,0.012499999999999997,0.012499999999999997,0.04081632653061224,0.6660022650557154,0.6740927425657368
Comb_C_C,0.48750000000000004,-0.010000000000000002,-0.010000000000000002,0.039999999999999994,0.75,0.75
Comb_C_E,0.3029585798816566,0.02211538461538461,0.02211538461538461,0.039062500000000014,0.6864945451183433,0.6859698594674559
Comb_C_M,0.5409999999999996,0,0,0.03611111111111112,0.7765,0.7755000000000001
Comb_C_PS,0.2052387343840487,-0.0024765309522399343,-0.0024765309522399343,0,0.2593333596290091,0.26737946843395105
Comb_C_RS,0.36093749999999997,0.010937500000000001,0.010937500000000001,0.017187499999999998,0.6074218749999998,0.6085937499999998
Comb_CC_C,0.07642971488645518,-0.0036363636363636372,-0.0036363636363636372,0.039999999999999994,0.34080164359764686,0.40887601446802097
Comb_CC_CC,0.15018809207458805,-0.016666666666666666,-0.016666666666666666,0.125,0.09246793872744559,0.11344205789553806
Comb_CC_E,0.6781249999999996,0.031944444444444435,0.031944444444444435,0.030222166682235495,0.3444913055594477,0.48412150000778414
Comb_CC_M,0.0226249297072043,-0.003125,-0.003125,0.48750000000000004,0.24198435742680108,0.40271871485360217
Comb_CC_PS,0.010669531267019607,-0.0058822646308036314,-0.0058822646308036314,0.8876033057851243,0.12021722984549248,0.1347072703237832
Comb_CC_RS,0.16840189446267947,-0.001155995997911292,-0.001155995997911292,0.024691358024691357,0.3027449608667381,0.3091496630606979
Comb_E_E,0.6781249999999996,0.14374999999999996,0.14374999999999996,0.25,0.9183593749999999,0.9148437499999997
Comb_E_M,0.49166666666666653,0.06388888888888887,0.06388888888888887,0.1111111111111111,0.8022569444444445,0.8003472222222224
Comb_E_PS,0.6781249999999996,0.01691176470588235,0.01691176470588235,0.0476365785835269,0.30167392808051313,0.4826221101639393
Comb_E_RS,0.6781249999999996,0.031944444444444435,0.031944444444444435,0.019753086419753076,0.3894566313571642,0.49468839071409776
Comb_M_M,0.48750000000000004,-0.025,-0.025,NA,0.64375,0.6375
Comb_M_PS,0.11983471074380166,-0.006649328767565754,-0.006649328767565754,0.9061728395061726,0.14526322432668431,0.2069802863832141
Comb_M_RS,0.12031249999999999,0.021875000000000002,0.021875000000000002,0.43125,0.4691406250000001,0.5945312500000001
Comb_PS_PS,0.1888888888888889,-0.01219043607387055,-0.01219043607387055,0.9061728395061726,0.17793105590004385,0.2026941476381377
Comb_PS_RS,0,0.04166666666666665,0.04166666666666665,0.1339016151878447,0.27485746342264883,0.28066890078009665
Comb_RS_RS,0.011111111111111112,0.05833333333333334,0.05833333333333334,0.43125,0.9164930555555557,0.9163194444444445
