Source,YAP,WT1,Stress_Fibers,SMAC,Mst1_2,MCL_1,Lats1_2,IAPs,FocalAdhesions,Ecadherin_mRNA_H,Cyto_C,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ApicalBasal_Pol,AMOT
YAP,0.9,0.9,0.8,0,-0.8,0,-0.7,0,0.9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,-0.6
WT1,0.7,0.6,0.5,0,-0.6,0,-0.5,0,0.6,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,-0.4
Stress_Fibers,0.9,0.8,0.7,0,-0.7,0,-0.6,0,0.8,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.5
SMAC,0,0,0,0.6,0,-0.8,0,-0.6,0,0,0.6,0.9,0.8,0.9,0.8,0.7,0.7,0.7,-0.8,-0.8,0.7,0.7,0.8,0,0
Mst1_2,-0.9,-0.8,-0.7,0,0.6,0,0.6,0,-0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.5
MCL_1,0,0,0,-0.9,0,0.6,0,0.8,0,0,-0.9,-0.8,-0.6,-0.7,-0.6,-1,-1,-1,1,1,-1,-1,-0.6,0,0
Lats1_2,-1,-0.9,-0.8,0,0.7,0,0.6,0,-0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.6
IAPs,0,0,0,-0.7,0,0.9,0,0.6,0,0,-0.7,-1,-0.9,-1,-0.9,-0.8,-0.8,-0.8,0.9,0.9,-0.8,-0.8,-0.9,0,0
FocalAdhesions,1,0.9,0.9,0,-0.7,0,-0.6,0,0.9,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.5
Ecadherin_mRNA_H,-0.8,-0.7,-0.6,0,0.7,0,0.6,0,-0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.5
Cyto_C,0,0,0,0.6,0,-0.8,0,-0.5,0,0,0.6,0.9,0.8,0.9,0.8,0.7,0.7,0.7,-0.8,-0.8,0.7,0.7,0.8,0,0
Casp9,0,0,0,0.7,0,-0.9,0,-0.6,0,0,0.7,0.9,0.9,1,0.9,0.8,0.8,0.8,-0.9,-0.9,0.8,0.8,0.9,0,0
Casp8,0,0,0,0.8,0,-0.9,0,-0.7,0,0,0.8,0.9,0.9,1,0.9,0.8,0.8,0.9,-0.9,-0.9,0.9,0.9,1,0,0
Casp3,0,0,0,0.8,0,-1,0,-0.7,0,0,0.8,1,1,1,1,0.9,0.9,0.9,-1,-1,0.9,0.9,1,0,0
Casp2,0,0,0,0.8,0,-0.6,0,-0.7,0,0,0.8,0.7,0.5,0.6,0.5,0.9,0.9,1,-0.9,-0.9,0.9,0.9,0.5,0,0
BIM,0,0,0,0.9,0,-0.6,0,-0.8,0,0,0.9,0.8,0.6,0.7,0.6,0.9,0.9,0.9,-0.8,-0.9,1,1,0.6,0,0
BIK,0,0,0,0.9,0,-0.6,0,-0.8,0,0,0.9,0.8,0.6,0.7,0.6,0.9,0.9,0.9,-0.8,-0.9,1,1,0.6,0,0
BID,0,0,0,0.5,0,-0.6,0,-0.4,0,0,0.5,0.8,0.6,0.7,0.6,0.5,0.5,0.5,-0.6,-0.6,0.6,0.6,0.6,0,0
BCLXL,0,0,0,-0.9,0,0.6,0,0.8,0,0,-0.9,-0.8,-0.6,-0.7,-0.6,-1,-1,-1,0.9,1,-1,-1,-0.6,0,0
BCL2,0,0,0,-0.9,0,0.6,0,0.8,0,0,-0.9,-0.8,-0.6,-0.7,-0.6,-1,-1,-1,0.9,0.9,-1,-1,-0.6,0,0
BAX,0,0,0,0.6,0,-0.7,0,-0.5,0,0,0.6,0.9,0.7,0.8,0.7,0.6,0.6,0.6,-0.7,-0.7,0.6,0.6,0.7,0,0
BAK,0,0,0,0.6,0,-0.7,0,-0.5,0,0,0.6,0.9,0.7,0.8,0.7,0.6,0.6,0.6,-0.7,-0.7,0.6,0.6,0.7,0,0
BAD,0,0,0,0.8,0,-0.5,0,-0.7,0,0,0.8,0.7,0.5,0.6,0.5,0.9,0.9,0.9,-1,-1,0.9,0.9,0.5,0,0
ApicalBasal_Pol,-0.9,-0.8,-0.7,0,0.8,0,0.7,0,-0.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.6
AMOT,-0.9,-0.8,-0.7,0,0.7,0,0.6,0,-0.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.5
