Source,YAP,WT1,U_Kinetochores,TRIO,TAZ,Stress_Fibers,Replication,PTEN_c,Plk1_H,N_bcatenin,Mst1_2,miR_29c,Mad2,Lats1_2,FocalAdhesions,f4N_DNA,Ect2,Ecadherin_mRNA_H,Cytokinesis,CHK1,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
YAP,0.9,0.9,0,0.9,0.8,0.8,0,-0.8,0,0.8,-0.8,0.9,0,-0.7,0.9,0,0,-1,0,0,0,-0.9,-0.6,0
WT1,0.7,0.6,0,0.6,0.7,0.5,0,-0.5,0,0.6,-0.6,0.6,0,-0.5,0.6,0,0,-0.8,0,0,0,-0.7,-0.4,0
U_Kinetochores,0,0,0.0019129137570175821,0,0,0,-0.25798997883114,0,0,0,0,0,-0.032333010762303695,0,0,0.20215304497998496,-0.21243188783722236,0,-0.21703532655047802,-0.2798328108672936,-0.2655470965815793,0,0,0.2600342874724181
TRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stress_Fibers,0.9,0.8,0,0.8,0.8,0.7,0,-0.7,0,0.7,-0.7,0.8,0,-0.6,0.8,0,0,-0.9,0,0,0,-0.8,-0.5,0
Replication,0,0,0.10196378616083561,0,0,0,-0.010058822860975553,0,0,0,0,0,-0.07887422770566896,0,0,0.21243188783722236,0.057019975749324624,0,0.05932745420359207,0.0939558119898677,0.09058947535620433,0,0,0.25937863022938795
PTEN_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plk1_H,0,0,-0.09424431282008094,0,0,0,0.28894028075062556,0,1,0,0,0,0.08749673458725182,0,0,-0.2182698944517126,0.3723719740871444,0,0.38219653549065313,0.2937258687258687,0.2879787422890871,0,0,-0.25798997883114
N_bcatenin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mst1_2,-0.9,-0.8,0,-0.8,-0.8,-0.7,0,0.7,0,-0.6,0.6,-0.8,0,0.6,-0.8,0,0,0.8,0,0,0,0.7,0.5,0
miR_29c,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mad2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lats1_2,-1,-0.9,0,-0.9,-0.9,-0.8,0,0.8,0,-0.7,0.7,-0.9,0,0.6,-0.9,0,0,0.9,0,0,0,0.8,0.6,0
FocalAdhesions,1,0.9,0,0.9,0.8,0.9,0,-0.8,0,0.7,-0.7,0.9,0,-0.6,0.9,0,0,-0.9,0,0,0,-0.8,-0.5,0
f4N_DNA,0,0,0.060689469354566074,0,0,0,-0.21243188783722236,0,0,0,0,0,-0.07100265646221884,0,0,0.01636281707779241,0.022821256841990052,0,0.025450886471619683,-0.2182698944517126,-0.21703532655047802,0,0,0.20532441190863343
Ect2,0,0,-0.06356890635050792,0,0,0,0.2182698944517126,0,0,0,0,0,0.07056374561531654,0,0,-0.1249770853626444,-0.0310449687647311,0,0.06675849944336139,0.20707936507936506,0.21286448904630723,0,0,-0.20215304497998496
Ecadherin_mRNA_H,-0.8,-0.7,0,-0.7,-0.8,-0.6,0,0.6,0,-0.7,0.7,-0.7,0,0.6,-0.7,0,0,0.8,0,0,0,0.8,0.5,0
Cytokinesis,0,0,-0.06343021009530682,0,0,0,0.21703532655047802,0,0,0,0,0,0.0692920693147385,0,0,-0.11808695500882689,-0.025450886471619683,0,-0.0310449687647311,0.21286448904630723,0.2182698944517126,0,0,-0.20543552301974458
CHK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
ApicalBasal_Pol,-0.9,-0.8,0,-0.8,-0.9,-0.7,0,0.7,0,-0.8,0.8,-0.8,0,0.7,-0.8,0,0,0.9,0,0,0,0.8,0.6,0
AMOT,-0.9,-0.8,0,-0.8,-0.8,-0.7,0,0.7,0,-0.7,0.7,-0.8,0,0.6,-0.8,0,0,0.9,0,0,0,0.8,0.5,0
A_Kinetochores,0,0,-0.21243188783722236,0,0,0,-0.09424431282008094,0,0,0,0,0,-0.20911360989307118,0,0,0.06356890635050792,0.003998145218664333,0,3.9304261189783277e-4,-0.09858934169278996,-0.09055362740707568,0,0,0.0019129137570175821
