Source,U_Kinetochores,Replication,Rac1,Plk1_H,PAK1,Merlin,IQGAP1_LeadingE,Horizontal_Pol,f4N_DNA,Ect2,Cytokinesis,A_Kinetochores
U_Kinetochores,0.0019129137570175821,-0.25798997883114,0,0,0,0,0,0,0.20215304497998496,-0.21243188783722236,-0.21703532655047802,0.2600342874724181
Replication,0.10196378616083561,-0.010058822860975553,0,0,0,0,0,0,0.21243188783722236,0.057019975749324624,0.05932745420359207,0.25937863022938795
Rac1,0,0,0.7,0,0.7,-0.6,0.9,0.8,0,0,0,0
Plk1_H,-0.09424431282008094,0.28894028075062556,0,1,0,0,0,0,-0.2182698944517126,0.3723719740871444,0.38219653549065313,-0.25798997883114
PAK1,0,0,0.6,0,0.5,-0.5,0.7,0.6,0,0,0,0
Merlin,0,0,-0.7,0,-0.6,0.5,-0.8,-0.7,0,0,0,0
IQGAP1_LeadingE,0,0,0.8,0,0.7,-0.6,0.9,0.9,0,0,0,0
Horizontal_Pol,0,0,0.9,0,0.8,-0.7,1,0.9,0,0,0,0
f4N_DNA,0.060689469354566074,-0.21243188783722236,0,0,0,0,0,0,0.01636281707779241,0.022821256841990052,0.025450886471619683,0.20532441190863343
Ect2,-0.06356890635050792,0.2182698944517126,0,0,0,0,0,0,-0.1249770853626444,-0.0310449687647311,0.06675849944336139,-0.20215304497998496
Cytokinesis,-0.06343021009530682,0.21703532655047802,0,0,0,0,0,0,-0.11808695500882689,-0.025450886471619683,-0.0310449687647311,-0.20543552301974458
A_Kinetochores,-0.21243188783722236,-0.09424431282008094,0,0,0,0,0,0,0.06356890635050792,0.003998145218664333,3.9304261189783277e-4,0.0019129137570175821
