Source,U_Kinetochores,Replication,pRB,Plk1_H,p27Kip1,p21,Myc,f4N_DNA,Ect2,E2F1,Cytokinesis,CyclinE,CyclinD1,CHK1,ATR,A_Kinetochores
U_Kinetochores,0.0019679464507418873,-0.25234399563876647,-0.2822222222222222,0,-0.2777777777777778,-0.275,0.2,0.20311067490986848,-0.2123790072600124,0.2,-0.21703532655047802,0.32772727272727276,0.3383333333333333,-0.27878787878787875,-0.2626306735477041,0.2600929480196952
Replication,0.09516256080999136,-0.11646614621878755,0.5084996956243375,0,0.49927077930594554,0.4859241777777874,-0.4824717051377513,0.1662025705270213,0.05387341397472142,-0.49141052257509443,0.05638345413536398,-0.5389122255865523,-0.5639607898315947,0.02675053204017207,0.004720294459178551,0.2456918328808247
pRB,-0.2566132839715357,-0.6335087657655085,0.8581206457214103,0,0.8550492128514631,0.8490150400132711,-0.9781437768273344,-0.5724497962255924,-0.14485557734161003,-0.9802167250260453,-0.14031937495719596,-0.9334321078112641,-0.9452299520243761,-0.523876030349052,-0.5796904429847874,-0.474751315687617
Plk1_H,-0.0944132765298827,0.27596556913045034,0.2875,1,0.284,0.28181818181818186,-0.2,-0.22061348631459193,0.3722140486255043,-0.2,0.38219653549065313,-0.346524064171123,-0.3552795031055901,0.29116541353383457,0.28127530364372466,-0.2581786755289478
p27Kip1,-0.2599529403047435,-0.6322201466156505,0.9576471044888443,0,0.8545105608588986,0.8483371149569783,-0.8779388810041648,-0.5719970610491737,-0.14981155883616493,-0.8800532226568537,-0.1451081916528405,-0.9326033781944971,-0.8446307046178994,-0.5227956246931762,-0.5784973790791411,-0.4761091132984414
p21,-0.2562724727224278,-0.5415406162421487,0.8841008353165389,0,0.8821050928651408,0.6789075780161037,-0.7947519515531125,-0.4855037186621141,-0.1595932796064224,-0.7956327543424317,-0.15725718314824605,-0.7679867379514833,-0.9751119244436417,-0.42175299180199144,-0.4828323049663414,-0.4121287910276085
Myc,0.2669326051932715,0.6419167344592401,-0.8605858444052392,0,-0.8575464855906999,-0.7516031202851183,0.8797870059582948,0.5811228958951269,0.15401714657785207,0.9817643386431533,0.14965849153426553,0.8363470260643568,0.9480156596364318,0.5315112455459465,0.5876801846879485,0.48402394963738216
f4N_DNA,0.06253255523001075,-0.1662025705270213,-0.45568132783794113,0,-0.44476051470464883,-0.4328730904817862,0.42643572515212985,0.03189909531325482,0.023775147594032438,0.43443100775193794,0.026215935878248674,0.4815836922009839,0.5060655633389772,-0.19216340371838095,-0.18102803253934163,0.20876247391894415
Ect2,-0.06423750835950522,0.19216340371838095,0.3469922572960095,0,0.3377777777777778,0.33152173913043476,-0.28823529411764703,-0.13160515463756065,-0.03155109319699013,-0.2906976744186046,0.06649712723929001,-0.38287309048178614,-0.39869047619047615,0.19840861444635027,0.19618639222412806,-0.20311067490986848
E2F1,0.23939628096111662,0.6361691310945741,-0.8264089287295115,0,-0.8219912265111106,-0.8127583374213518,0.9555724346041374,0.5761894365178886,0.13391125848319627,0.9588102333008035,0.12979808682366228,0.8926100256510774,0.909538285983405,0.5355221440532665,0.586632432728322,0.471022537586302
Cytokinesis,-0.06464790507633147,0.18102803253934163,0.4025478128515651,0,0.39196772191185597,0.38287309048178614,-0.36237322515212983,-0.12889773105677463,-0.026215935878248674,-0.368031007751938,-0.03155109319699013,-0.4328730904817862,-0.4533732556466695,0.19618639222412806,0.19216340371838095,-0.20744264025414574
CyclinE,0.2090295550006176,0.6208768958214649,-0.920509142374297,0,-0.8171489620716427,-0.8094029058013282,0.850597966665449,0.5552716634777486,0.10230512435261896,0.8539530338432375,0.09880181567219856,0.7884594117629662,0.8034406498204868,0.521189293932421,0.5716909661732237,0.4455417169707762
CyclinD1,0.26948167316054394,0.5982726310966267,-0.9747599690265201,0,-0.9723447114826292,-0.7679867379514833,0.8892122237911625,0.5403509523532785,0.1632077374377477,0.8905941328332221,0.1595932796064224,0.8550194232751321,0.9641714514890344,0.4828323049663414,0.5415406162421487,0.45736427843177063
CHK1,-0.2544050394462919,-0.6514541882147686,0.8631908309459796,0,0.8605713362071483,0.7554740654969858,-0.7811015917548462,-0.5858930080982527,-0.13213763278944266,-0.7828861453237126,-0.12816991254734447,-0.8410919632242585,-0.9513098142968165,-0.5394348330982134,-0.5965652678808221,-0.48178787607309503
ATR,-0.24102238981616414,-0.5965652678808221,0.7743175256631372,0,0.7723676938230424,0.6686445381470124,-0.6882969699061067,-0.5334562570995842,-0.12816991254734447,-0.6896644704468653,-0.12344018281761474,-0.7554740654969858,-0.8639069973954081,-0.38001838747487116,-0.5394348330982134,-0.4405639352526512
A_Kinetochores,-0.2123790072600124,-0.0907492098834691,-0.19696969696969696,0,-0.18333333333333335,-0.175,0.16923076923076924,0.06423750835950522,0.004051579197263686,0.17333333333333334,3.9304261189783277e-4,0.18409090909090908,0.20388888888888893,-0.09772727272727273,-0.08855696705041684,0.0019679464507418873
