Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,TGFb_secr,SNAI2,SNAI1,Plk1,pAPC,N_bcatenin_H,miR_34,miR_200,LEF1,FoxM1,Emi1,Ecadherin_mRNA,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4
ZEB1_H,0.9,0.9,0,0,0.9,0.9,0.9,1,0,0,0.9,-1,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0.9
ZEB1,1,0.9,0,0,0.9,0.9,0.9,1,0,0,0.9,-1,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0.9
Wee1,-0.0835553611388385,-0.07933602001673665,0.290485395659544,-0.02520274988258033,-0.07937570509832532,-0.08308698951856335,-0.07969374022494369,-0.08900666819463496,-0.3990872645459108,-0.3153824302632943,-0.07118102493862219,0.08900666819463496,0.09380302703944303,-0.09005059763086017,-0.3127639853821946,0.347309851468888,0.08455594729638115,-0.007898343571406969,-0.31361142836554934,0.07027384782006918,-0.45676843280470225,0.1322733913494209,-0.3576675326822011,-0.31361142836554934,-0.2739586971470667,-0.01575766764679589,-0.07884798208276034
UbcH10,0.4928598089009551,0.47773056271142156,0.4771944446063737,-0.08519190885893034,0.4829865170780792,0.5022956467276231,0.4492574486122091,0.5178354551576485,-0.4980989171614817,-0.266350262028909,0.34162105297182704,-0.5178354551576485,-0.545308322831028,0.5290704383069924,-0.502268658621841,0.4577683011494405,-0.5032603045250041,-0.24927721833273114,-0.4953928592177436,-0.293311228866235,-0.46704559997501577,0.3760230140593614,-0.4666858743873778,-0.4953928592177436,-0.47080721872822284,0.11762656652773269,0.43186022454419903
Twist,0.9,0.9,0,0,0.7,0.9,1,0.8,0,0,0.9,-0.8,-1,0.9,0,0,-1,0,0,0,0,0,0,0,0,0,0.9
TGFb_secr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAI2,1,1,0,0,0.8,0.9,1,0.9,0,0,0.8,-0.9,-0.9,0.9,0,0,-1,0,0,0,0,0,0,0,0,0,1
SNAI1,0.9,0.9,0,0,1,0.9,0.9,0.9,0,0,0.9,-0.9,-1,0.9,0,0,-1,0,0,0,0,0,0,0,0,0,0.9
Plk1,0.24829081560145966,0.24720772370552754,-0.06554658146751649,-0.06150637134391031,0.27230509938648917,0.2644958035609589,0.22923932661862736,0.28638154098989843,0.055665092441320695,0.2777838419591091,0.18261004335948547,-0.28638154098989843,-0.30840749321269934,0.2923620405416551,0.0828067732758899,-0.11145173739115552,-0.2693273014490734,-0.1274376908452842,0.08608837353067633,-0.17363787627171887,0.12220362946839496,0.14770725440292826,0.11914927437818083,0.08608837353067633,0.040419141497810035,0.15090746898351728,0.22466447148250115
pAPC,0.35080507406879546,0.3499712816770585,0.4242087744125902,-0.17900681284035838,0.3809115010192995,0.3729620986363452,0.3185067258259361,0.3929902081985638,-0.44260536755502855,-0.10196592061063496,0.25379922732804683,-0.3929902081985638,-0.42247608929780334,0.40308004793101715,-0.44799914319700357,0.4986791835035363,-0.3757418067010098,-0.384125569804916,-0.44359491188214595,-0.2344697970940123,-0.5084317450669469,0.3052277648054497,-0.507541855290439,-0.44359491188214595,-0.4154041601835585,0.20642125000047354,0.30940130097020874
N_bcatenin_H,1,0.9,0,0,0.8,0.9,1,0.9,0,0,0.8,-0.9,-0.9,0.9,0,0,-0.9,0,0,0,0,0,0,0,0,0,1
miR_34,-0.9,-0.8,0,0,-1,-0.8,-0.9,-0.9,0,0,-0.9,0.9,0.9,-0.8,0,0,0.9,0,0,0,0,0,0,0,0,0,-0.9
miR_200,-1,-1,0,0,-0.8,-1,-0.9,-0.9,0,0,-1,0.9,1,-1,0,0,0.9,0,0,0,0,0,0,0,0,0,-0.9
LEF1,1,0.9,0,0,0.8,0.8,1,0.9,0,0,0.8,-0.9,-0.9,0.9,0,0,-0.9,0,0,0,0,0,0,0,0,0,0.9
FoxM1,-0.13746486534544683,-0.14461292395445347,-0.35917528154543427,0.24891360095002538,-0.18186228555794046,-0.16013549448305417,-0.12210448756078889,-0.18224113407189382,0.475871264891889,0.37409517635125283,-0.0827562328992257,0.18224113407189382,0.20331982073095772,-0.18751640703248101,0.38483069277187393,-0.4270133249315526,0.16508147718800362,0.2937886094981237,0.4833069963655399,0.0752844020283293,0.4364358318638293,-0.22439482548655584,0.4375582479284815,0.4833069963655399,0.44673831338759584,-0.03234074103376215,-0.11862412090126066
Emi1,-0.3962379609685334,-0.39216142111034424,-0.4223053458903342,0.2114945356061694,-0.41813532530993225,-0.41756124766006986,-0.3576535789651851,-0.43647153888480855,0.4443452945311933,0.1646468573738296,-0.27422038538723637,0.43647153888480855,0.4673278989991229,-0.44803692593510014,0.44719088438421106,-0.3957171015661717,0.41950886489575867,0.27502449543449325,0.4429898185381613,0.24565212289623614,0.4038240571983699,-0.4242050050519799,0.40507197024387853,0.4429898185381613,0.41721995577429316,-0.12694498082479827,-0.3448787010144948
Ecadherin_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CyclinB,0.07107734089732703,0.06695094604239668,-0.33465374874367365,0.20769632547042088,0.0646274464406516,0.06900527026717691,0.06851636453189354,0.07194945291314352,0.35131784744418615,0.3483450277170569,0.06422070886881773,-0.07194945291314352,-0.07459645584981942,0.07259391503258149,0.3586972844195598,-0.40751876662776343,-0.06967526258529738,0.178344096120091,0.3592144287145714,-0.06364586169801992,0.4185703503633995,-0.20629579566991868,0.41712316801578,0.3592144287145714,0.3238585465523084,-0.022759293758934596,0.06789686073465336
CyclinA_mRNA,-0.4696566845158897,-0.4563781351610299,-0.45286024203770375,0.29600826533078883,-0.4675439778066419,-0.4829519815365133,-0.4220049205597694,-0.49878284832305,0.4733401279225329,0.26333360875659484,-0.30599195780597654,0.49878284832305,0.5286187455589908,-0.5112971531954582,0.4781505020920416,-0.4350127152291588,0.48359301679333366,0.22464659033123047,0.4728594405025487,0.25514214651150796,0.44545203626397045,-0.35099628390658355,0.4440462092254883,0.4728594405025487,0.44583147945368556,-0.07552433824058381,-0.4031778297249426
CyclinA,-0.480834181692771,-0.47332857988784055,-0.45421052288321545,0.2960667383363872,-0.49878284832305,-0.5033192290538452,-0.42946986283220384,-0.5205294744039163,0.47517122606128204,0.2678507211437652,-0.30561255191142733,0.5205294744039163,0.5551230379880006,-0.5354349128614955,0.4802545275849995,-0.43816337930610105,0.5036462539262339,0.22278220284001088,0.4781505020920416,0.15309897403165326,0.44917303975285866,-0.35059863340259517,0.4477038251773731,0.4781505020920416,0.4469706253172432,-0.07281965613181322,-0.4084967427202068
Cdk1,0.019495246015685547,0.016025375697708684,-0.33913402925582414,0.05859263212087009,0.009364072762340019,0.014883651831693528,0.020792189008659655,0.013939856711492112,0.35306139162040895,0.33518865077355847,0.02422667997870282,-0.013939856711492112,-0.01232622273500488,0.013414570027660711,0.36277722754857644,-0.39902630696053176,-0.01476150285853759,0.06017208780897321,0.3630480087196391,-0.025247352357610685,0.4084843436202773,-0.19609325659103377,0.40959573791680554,0.3630480087196391,0.32598213076897775,-9.662167997933251e-4,0.021047090394177192
Cdh1,0.17747758039664183,0.18375226509220582,0.23589383252661436,-0.28258777529548584,0.2291256067132564,0.20573913836989305,0.1522103821959651,0.23000808993244615,-0.365741633757652,-0.27769321417699194,0.09489388034756938,-0.23000808993244615,-0.2583832087628111,0.2386941342994177,-0.2624286930465753,0.30061459361594245,-0.21048960606361575,-0.14270028985220243,-0.26276415281832166,-0.08373673001597194,-0.311623657640976,0.15161147560759294,-0.3099262579327755,-0.26276415281832166,-0.3382468028085509,-0.08303177687150182,0.14593499457411838
Cdc25C,0.016038915948199298,0.011775938217798685,-0.3396261873235292,0.05911480398615047,0.004281693538659483,0.010536139474656332,0.017585288529229588,0.009364072762340019,0.3534153537314594,0.334282515124781,0.022546144721256912,-0.009364072762340019,-0.00772646768049447,0.00889512065598659,0.3630480087196391,-0.3991084856561725,-0.010338390372617244,0.06147641687693038,0.36229977064953445,-0.024394558292095355,0.5083458256674966,-0.19688420447275146,0.4094873746440487,0.36229977064953445,0.32650916830474874,-0.002016807240371799,0.017867942867203578
Cdc25B,-0.12584245668282287,-0.1325340795131399,-0.3528980325328916,0.22802324664229728,-0.16178198515712772,-0.14427580477498067,-0.11444948679072844,-0.1633502889128025,0.46848536451751144,0.35743871654744935,-0.08396094526067498,0.1633502889128025,0.17997240663857886,-0.1668540251106291,0.4773265587858905,-0.41684669969659227,0.14872621565905447,0.2862613176937191,0.4736296358237751,0.07713473430047571,0.5258231374824731,-0.2170240587359224,0.5269274060642849,0.4736296358237751,0.4405163184869793,-0.025873720433461755,-0.11218641590478969
Cdc25A,-0.33411522294604773,-0.3335880890088449,-0.3702447311960464,0.2704745669046623,-0.3688429743261827,-0.35937730180042904,-0.2967358076793384,-0.37973307378142784,0.4909752101081685,0.3839608477031648,-0.22101865913804897,0.37973307378142784,0.4119882023842799,-0.3913816937553465,0.4956853242684439,-0.43981955236181064,0.36178275450044556,0.20380144897591013,0.4938099424275106,0.19830012914751413,0.34849071749961025,-0.3584040864150752,0.4505234205964161,0.4938099424275106,0.36375578607550396,0.042308646967868915,-0.2856547061123054
Cdc20,0.2083474392953081,0.21192200927975785,0.4108803815336987,-0.029436927295889214,0.24368564083006233,0.22924787683896292,0.1885074066762135,0.25100893449049466,-0.4294199544845544,-0.13216682261822188,0.14123989625230499,-0.25100893449049466,-0.2736453302684234,0.2571685246855228,-0.43467329800731636,0.48296260303717686,-0.23384994460440725,-0.3649659279215859,-0.4306117774835535,-0.13022029143167127,-0.49229514716378436,0.290871628454501,-0.4918601039317837,-0.4306117774835535,-0.4020007782842539,0.10262531822330015,0.18375709947535793
b_catenin_TCF4,0.9,0.9,0,0,0.8,0.9,0.8,0.9,0,0,0.8,-0.9,-0.9,0.9,0,0,-0.9,0,0,0,0,0,0,0,0,0,0.8
