Source,ZEB1_H,ZEB1,Twist,SNAI2,SNAI1,pRB,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,LEF1,E2F1,CyclinE,CyclinD1,b_catenin_TCF4
ZEB1_H,0.9,0.9,0.9,0.9,1,0,0,0,0.9,0,-1,-1,1,0,0,0,0.9
ZEB1,1,0.9,0.9,0.9,1,0,0,0,0.9,0,-1,-1,1,0,0,0,0.9
Twist,0.9,0.9,0.7,1,0.8,0,0,0,0.9,0,-0.8,-1,0.9,0,0,0,0.9
SNAI2,1,1,0.8,1,0.9,0,0,0,0.8,0,-0.9,-0.9,0.9,0,0,0,1
SNAI1,0.9,0.9,1,0.9,0.9,0,0,0,0.9,0,-0.9,-1,0.9,0,0,0,0.9
pRB,0.3364799311184202,0.22637135117679114,0.28589315368104695,0.5021666811027907,0.3166094422357245,0.9,0.9,0.9,0.6425972010997603,-1,-0.3166094422357245,0.13451027072430666,0.10795893348721664,-1,-1,-1,0.5512368625122013
p27Kip1,0.31350870517019036,0.22082816979381312,0.27158345257727323,0.45686923272200675,0.30118483905907567,1,0.9,0.9,0.58222026420951,-0.9,-0.30118483905907567,0.08392005560114879,0.11753563711764133,-0.9,-1,-0.9,0.5054431035477922
p21,-0.8299113523027186,-0.8450381573874519,-0.6660507562109348,-0.7108291612880853,-0.7538432132188321,0.9,0.9,0.7,-0.6527907826741295,-0.8,0.7538432132188321,0.9625497656848317,-0.8587723836899741,-0.8,-0.8,-1,-0.6930165906647657
N_bcatenin_H,1,0.9,0.8,1,0.9,0,0,0,0.8,0,-0.9,-0.9,0.9,0,0,0,1
Myc,-0.3384953118891331,-0.1975241592160546,-0.27224714299469166,-0.4849818908420097,-0.30469104839190214,-0.9,-0.9,-0.8,-0.6081159208102883,0.9,0.30469104839190214,-0.1956737504090723,-0.07740591449472767,1,0.9,1,-0.5281290354485929
miR_34,-0.9,-0.8,-1,-0.9,-0.9,0,0,0,-0.9,0,0.9,0.9,-0.8,0,0,0,-0.9
miR_200,-1,-1,-0.8,-0.9,-0.9,0,0,0,-1,0,0.9,1,-1,0,0,0,-0.9
LEF1,1,0.9,0.8,1,0.9,0,0,0,0.8,0,-0.9,-0.9,0.9,0,0,0,0.9
E2F1,-0.3364799311184202,-0.22637135117679114,-0.28589315368104695,-0.5021666811027907,-0.3166094422357245,-0.9,-0.9,-0.9,-0.6425972010997603,1,0.3166094422357245,-0.13451027072430666,-0.10795893348721664,1,1,1,-0.5512368625122013
CyclinE,-0.2949033204676125,-0.24749539818438024,-0.2798448605485777,-0.4404674121952999,-0.30767360672594773,-1,-0.9,-0.9,-0.4533962410110906,0.9,0.30767360672594773,0.01480238723155713,-0.15514966321462634,0.9,0.9,0.9,-0.48386214838270014
CyclinD1,-0.3191415537336054,-0.19609770083263667,-0.2602043010752688,-0.4646619918092105,-0.29199525335785503,-1,-1,-0.8,-0.5886288188907048,0.9,0.29199525335785503,-0.16278494506004304,-0.08322777988049045,0.9,0.9,1,-0.5089621003962032
b_catenin_TCF4,0.9,0.9,0.8,0.8,0.9,0,0,0,0.8,0,-0.9,-0.9,0.9,0,0,0,0.8
